objectid,title,creator,date,date is approximate ,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,filename ,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
camps015,Southbury Bunds' New Activity ,"William M. Citron, M.C.",1937-12-2,no,"Published in the Waterbury Democrat, this article follows the ongoing tensions between Southbury residents and the presence of the German American Bund in town. Tensions hightened the winter of 1937 as the Bund increased their activity in the area.",Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_02.pdf,wed_1937_12_02,pdf,/objects/wed_1937_12_02.pdf,/objects/small/wed_1937_12_02_sm.jpg,/objects/thumbs/wed_1937_12_02_th.jpg,A black and white newsarticle. ,
camps016,Southbury Bunds' New Activity: Zoomed In,"William M. Citron, M.C.",1937-12-2,no,"Zoomed in version of the article published in the Waterbury Democrat, this article follows the ongoing tensions between Southbury residents and the presence of the German American Bund in town. Tensions hightened the winter of 1937 as the Bund increased their activity in the area.",Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_02_zoomed.pdf,wed_1937_12_02_zoomed,pdf,/objects/wed_1937_12_02_zoomed.pdf,",/objects/small/wed_1937_12_02_zoomed_sm.jpg",/objects/thumbs/wed_1937_12_02_zoomed_th.jpg,A black and white newsarticle. ,
camps017,"Camp Willie and Macht, Princeton, NJ",,1934-08-01,no,"Published in Associated Press, the image includes several images from Nazi Youth Camps in America, and specifically announces the founding of another camp in New Jersey.",Princeton; Summer Camps,"Princeton, NJ",40.35159397,-74.65816173,Associated Press,,image/jpeg,,,,willie_and_macht_associatedpress.jpeg,willie_and_macht_associatedpress,image,/objects/willie_and_macht_associatedpress.jpeg,/objects/small/willie_and_macht_associatedpress_sm.jpg,/objects/thumbs/willie_and_macht_associatedpress_th.jpg,Advertisment for a Drill Camp for Nazi boys in New Jersey. ,
camps018,Advertisment for the Bund Sponsored Youth Camps ,Museum of Jewish Heritage — A Living Memorial to the Holocaust,1938,yes,"Curated by the Museum of Jewish Heritage — A Living Memorial to the Holocaust, this video is a compliation of images related to the Nazi Summer Youth Camps.",German American Bund; New Friends of Germany; Siegfried; Summer Camps,"Long Island, N.Y. ",40.80243089,-73.13876937,Museum of Jewish Heritage — A Living Memorial to the Holocaust,,video/mp4,eng,,,,,video,https://youtu.be/klzy0Bb4fBs,,,,
camps019,Bund children deliver Nazi salute during German Day Celebration.,Anthony Potter Collection,1936-10-5,no,About two dozen young men and boys deliever the Nazi salute dressed in uniform. This moment was a part of the German Day celebration held at the camp.,Summer Camps,New Jersey,,,Anthony Potter Collection,Archive,image/jpeg,eng,,,bundchildren.jpg,bundchildren,image,/objects/bundchildren.jpg,/objects/small/bundchildren_sm.jpg,/objects/thumbs/bundchildren_th.jpg,,
camps020,Bund boys and girls standing together with a Nazi and American flag. ,National Archives and Records Administration,1942,yes,"Young boys and girls, not all of them in uniform, crowd together in front of Nazi and American flags. The mood of this image is jubilent with young children smiling in the front.",Summer Camps,New Jersey,,,National Archives and Records Administration,Archive,image/jpeg,eng,,,bundboysandgirls.jpg,bundboysandgirls,image,/objects/bundsboysandgirls.jpg,/objects/small/bundboysandgirls_sm.jpg,/objects/thumbs/bundboysandgirls_th.jpg,,
camps021,Newspaper: Brainerd Dispatch on Southbury,Brainerd Dispatch,1937-12-20,no,,"Summer Camps, Southbury","Brainerd, Minnesota",46.35079883,-94.20008168,,Newspaper,application/pdf ,eng,,,brainerd_1937_12_20_4.pdf,brainerd_1937_12_20_4,,/objects/brainerd_1937_12_20_4.pdf,/objects/small/brainerd_1937_12_20_4_sm.jpg,/objects/thumbs/brainerd_1937_12_20_4_th.jpg,,
camps022,Newspaper: Clinton Daily News on Southbury,Clinton Daily News,1937-12-21,no,,"Summer Camps, Southbury","Clinton, Oklahoma",35.51613361,-98.96543078,,Newspaper,application/pdf ,eng,,,clintondaily_12_7_21_4.pdf,clintondaily_12_7_21_4,,/objects/clintondaily_12_7_21_4.pdf,/objects/small/clintondaily_12_7_21_4_sm.jpg,/objects/thumbs/clintondaily_12_7_21_4_th.jpg,,
camps023,Newpaper: Daily American Republic on Southbury,Daily American Republic,1937-12-21,no,,"Summer Camps, Southbury","Poplar Bluff, Missouri",36.75703163,-90.39442809,,Newspaper,application/pdf ,eng,,,dailyamerican_1937_12_21.pdf,dailyamerican_1937_12_21,,/objects/dailyamerican_1937_12_21.pdf,/objects/small/dailyamerican_1937_12_21_sm.jpg,/objects/thumbs/dailyamerican_1937_12_21_th.jpg,,
camps024,Newspaper: Miami News Record on Southbury,Miami News Record,1937-12-26,no,,"Summer Camps, Southbury","Miami, Florida",25.76074861,-80.18797471,,Newspaper,application/pdf ,eng,,,miami_1937_12_26.pdf,miami_1937_12_26,,/objects/miami_1937_12_26.pdf,/objects/small/miami_1937_12_26_sm.jpg,/objects/thumbs/miami_1937_12_26_th.jpg,,
camps025,Newspaper: Penninsula Daily News on Southbury,Penninsula Daily News,1937-12-23,no,,"Summer Camps, Southbury",Washington State,47.28742599,-119.8628611,,Newspaper,application/pdf ,eng,,,penninsula_1937_12_23_2.pdf,penninsula_1937_12_23_2,,/objects/penninsula_1937_12_23_2.pdf,/objects/small/penninsula_1937_12_23_2_sm.jpg,/objects/thumbs/penninsula_1937_12_23_2_th.jpg,,
camps026,Newspaper: The Daily Reporter on Southbury,The Daily Reporter,1937-12-08,no,,"Summer Camps, Southbury","Coldwater, Michigan",41.94067683,-84.99807103,,Newspaper,application/pdf ,eng,,,dailyreporter_1937_12_08_2.pdf,dailyreporter_1937_12_08_2,,/objects/dailyreporter_1937_12_08_2.pdf,/objects/small/dailyreporter_1937_12_08_2_sm.jpg,/objects/thumbs/dailyreporter_1937_12_08_2_th.jpg,,
camps027,Newspaper: The Lima News on Southbury,The Lima News,1937-12-08,no,,"Summer Camps, Southbury","Lima, Ohio",40.74295572,-84.10529528,,Newspaper,application/pdf ,eng,,,lima_1937_12_08_4.pdf,lima_1937_12_08_4,,/objects/lima_1937_12_08_4.pdf,/objects/small/lima_1937_12_08_4_sm.jpg,/objects/thumbs/lima_1937_12_08_4_th.jpg,,
camps028,Newspaper: The Tulsa Tribune on Southbury,The Tulsa Tribune,1937-12-09,no,,"Summer Camps, Southbury","Tulsa, Oklahoma",36.15787228,-95.99139882,,Newspaper,application/pdf ,eng,,,tulsa_1937_12_09_6.pdf,tulsa_1937_12_09_6,,/objects/tulsa_1937_12_09_6.pdf,/objects/small/tulsa_1937_12_09_6_sm.jpg,/objects/thumbs/tulsa_1937_12_09_6_th.jpg,,
camps029,Newspaper: The Tulsa Tribune on Southbury,The Tulsa Tribune,1937-12-10,no,,"Summer Camps, Southbury","Tulsa, Oklahoma",36.15787228,-95.99139882,,Newspaper,application/pdf ,eng,,,tulsa_1937_12_10_26.pdf,tulsa_1937_12_10_26,,/objects/tulsa_1937_12_10_26.pdf,/objects/small/tulsa_1937_12_10_26_sm.jpg,/objects/thumbs/tulsa_1937_12_10_26_th.jpg,,
camps030,Newspaper: The Tulsa Tribune on Southbury,The Tulsa Tribune,1938-01-03,no,,"Summer Camps, Southbury","Tulsa, Oklahoma",36.15787228,-95.99139882,,Newspaper,application/pdf ,eng,,,tulsa_1938_01_03_14.pdf,tulsa_1938_01_03_14,,/objects/tulsa_1938_01_03_14.pdf,/objects/small/tulsa_1938_01_03_14_sm.jpg,/objects/thumbs/tulsa_1938_01_03_14_th.jpg,,
camps031,Newspaper: The Wewoka Times Democrat on Southbury,The Wowka Times Democrat,1937-12-24,no,,"Summer Camps, Southbury","Wewoka, Oklahoma",35.15905116,-96.4934321,,Newspaper,application/pdf ,eng,,,wewoka_1937_12_24_10.pdf,wewoka_1937_12_24_10,,/objects/wewoka_1937_12_24_10.pdf,/objects/small/wewoka_1937_12_24_10_sm.jpg,/objects/thumbs/wewoka_1937_12_24_10_th.jpg,,
camps032,Newspaper: Brooklyn Eagel on Southbury,Brooklyn Eagle,1938-05-06,no,,"Summer Camps, Southbury","Brooklyn, New York",40.67931878,-73.94243517,,Newspaper,application/pdf ,eng,,,brooklyneagle_1938_05_06_1.pdf,brooklyneagle_1938_05_06_1,,/objects/brooklyneagle_1938_05_06_1.pdf,/objects/small/brooklyneagle_1938_05_06_1_sm.jpg,/objects/thumbs/brooklyneagle_1938_05_06_1_th.jpg,,
camps033,Newspaper: The Brooklyn Citizen on Southbury,The Brooklyn Citizen,1937-12-14,no,,"Summer Camps, Southbury","Brooklyn, New York",40.67931878,-73.94243517,,Newspaper,application/pdf ,eng,,,brooklyncitizen_1937_12_14_10.pdf,brooklyncitizen_1937_12_14_10,,/objects/brooklyncitizen_1937_12_14_10.pdf,/objects/small/brooklyncitizen_1937_12_14_10_sm.jpg,/objects/thumbs/brooklyncitizen_1937_12_14_10_th.jpg,,
camps034,Newspaper: The Buffalo Times on Southbury,The Buffalo Times,1937-12-27,no,,"Summer Camps, Southbury","Buffalo, New York",42.88657501,-78.87716366,,Newspaper,application/pdf ,eng,,,buffalotimes_1937_12_27_4.pdf,buffalotimes_1937_12_27_4,,/objects/buffalotimes_1937_12_27_4.pdf,/objects/small/buffalotimes_1937_12_27_4_sm.jpg,/objects/thumbs/buffalotimes_1937_12_27_4_th.jpg,,
camps035,Newspaper: The Daily Freeman on Southbury,The Daily Freeman,1937-12-13,no,,"Summer Camps, Southbury","Kingston, New York",41.92675956,73.99831145,,Newspaper,application/pdf ,eng,,,dailyfreeman_1937_12_13_2.pdf,dailyfreeman_1937_12_13_2,,/objects/dailyfreeman_1937_12_13_2.pdf,/objects/small/dailyfreeman_1937_12_13_2_sm.jpg,/objects/thumbs/dailyfreeman_1937_12_13_2_th.jpg,,
camps036,Newspaper: Harrisburg Telegraph on Southbury,Harrisburg Telegraph,1937-12-13,no,,"Summer Camps, Southbury","Harrisburg, Pennsylvania",40.27304762,-76.886344,,Newspaper,application/pdf ,eng,,,harrisburg_1937_12_13.pdf,harrisburg_1937_12_13,,/objects/harrisburg_1937_12_13.pdf,/objects/small/harrisburg_1937_12_13_sm.jpg,/objects/thumbs/harrisburg_1937_12_13_th.jpg,,
camps037,Newspaper: The Middletown Times on Southbury ,The Middletown Times,1937-12-15,no,,"Summer Camps, Southbury","Middletown, Connecticut ",41.56367461,-72.64919921,,Newspaper,application/pdf ,eng,,,middletown_1937_12_15.pdf,middletown_1937_12_15,,/objects/middletown_1937_12_15.pdf,/objects/small/middletown_1937_12_15_sm.jpg,/objects/thumbs/middletown_1937_12_15_th.jpg,,
camps038,Newspaper: The Nashville Banner on Southbury,The Nashville Banner,1937-12-14,no,,"Summer Camps, Southbury","Nashville, Tennessee",36.16324792,-86.76043997,,Newspaper,application/pdf ,eng,,,nashville_1937_12_14_6.pdf,nashville_1937_12_14_6,,/objects/nashville_1937_12_14_6.pdf,/objects/small/nashville_1937_12_14_6_sm.jpg,/objects/thumbs/nashville_1937_12_14_6_th.jpg,,
camps039,Newspaper: The Times Herald on Southbury,The Times Herald,1937-12-15,no,,"Summer Camps, Southbury","Port Huron, Michigan",42.97108743,-82.42423304,,Newspaper,application/pdf ,eng,,,timesherald_1937_12_15.pdf,timesherald_1937_12_15,,/objects/timesherald_1937_12_15.pdf,/objects/small/timesherald_1937_12_15_sm.jpg,/objects/thumbs/timesherald_1937_12_15_th.jpg,,
camps040,Newspaper: The Dunkirk Evening Obeserver on Southbury,The Dunkirk Evening Observer,1937-12-15,no,,"Summer Camps, Southbury","Dunkirk, NY",42.48654621,-79.33472048,,Newspaper,application/pdf ,eng,,,dunkirk_1937_12_15.pdf,dunkirk_1937_12_15,,/objects/dunkirk_1937_12_15.pdf,/objects/small/dunkirk_1937_12_15_sm.jpg,/objects/thumbs/dunkirk_1937_12_15_th.jpg,,
camps041,Newspaper: The Miami News on Southbury,The Miami News,1937-12-21,no,,"Summer Camps, Southbury","Miami, Florida",25.7595118,-80.19175126,,Newspaper,application/pdf ,eng,,,miami_1937_12_15_21.pdf,miami_1937_12_15_21,,/objects/miami_1937_12_15_21.pdf,/objects/small/miami_1937_12_15_21_sm.jpg,/objects/thumbs/miami_1937_12_15_21_th.jpg,,
camps042,Newspaper: The Salt Lake Tribune on Southbury,The Salt Lake Tribune,1937-12-16,no,,"Summer Camps, Southbury","Salt Lake City, Utah",40.76432185,-111.9003465,,Newspaper,application/pdf ,eng,,,saltlake_1937_12_16_5.pdf,saltlake_1937_12_16_5,,/objects/saltlake_1937_12_16_5.pdf,/objects/small/saltlake_1937_12_16_5_sm.jpg,/objects/thumbs/saltlake_1937_12_16_5_th.jpg,,
camps044,Newspaper: The Muskogee Daily Phoenix on Southbury,The Muskogee Daily Phoenix,1937-12-15,no,,"Summer Camps, Southbury","Phoenix, Arizona",33.45277585,-112.0946314,,Newspaper,application/pdf ,eng,,,muskogee_1937_12_15_7.pdf,muskogee_1937_12_15_7,,/objects/muskogee_1937_12_15_7.pdf,/objects/small/muskogee_1937_12_15_7_sm.jpg,/objects/thumbs/muskogee_1937_12_15_7_th.jpg,,
camps045,Newspaper: Dunkirk Evening Observer on Yaphank ,Dunkirk Evening Observer,1938-07-06,no,,Summer Camps,"Dunkirk, NY",42.48654621,-79.33472048,,Newspaper,application/pdf ,eng,,,dunkirk_1938_07_06.pdf,dunkirk_1938_07_06,,/objects/dunkirk_1938_07_06.pdf,/objects/small/dunkirk_1938_07_06_sm.jpg,/objects/thumbs/dunkirk_1938_07_06_th.jpg,,
camps046,Newspaper: Ironwood Daily Globe on Yaphank ,Ironwood Daily Globe,1938-05-07,no,,Summer Camps,"Ironwood, Missouri",46.45368695,-90.16820466,,Newspaper,application/pdf ,eng,,,ironwood_1938_05_07_.pdf,ironwood_1938_05_07_,,/objects/ironwood_1938_05_07_.pdf,/objects/small/ironwood_1938_05_07__sm.jpg,/objects/thumbs/ironwood_1938_05_07__th.jpg,,
camps047,Newspaper: The Buffalo Times on Yaphank ,The Buffalo Times,1938-07-18,no,,Summer Camps,"Buffalo, New York",42.88657501,-78.87716366,,Newspaper,application/pdf ,eng,,,buffalo_1938_07_18_2.pdf,buffalo_1938_07_18_2,,/objects/buffalo_1938_07_18_2.pdf,/objects/small/buffalo_1938_07_18_2_sm.jpg,/objects/thumbs/buffalo_1938_07_18_2_th.jpg,,
camps048,Newspaper: The Daily Nonpareil on Reading ,The Daily Nonpariel,1938-02-14,no,,Summer Camps,"Reading, Pennsylvaia",40.33695314,-75.92107243,,Newspaper,application/pdf ,eng,,,nonpariel_1938_02_14_2.pdf,nonpariel_1938_02_14_2,,/objects/nonpariel_1938_02_14_2.pdf,/objects/small/nonpariel_1938_02_14_2_sm.jpg,/objects/thumbs/nonpariel_1938_02_14_2_th.jpg,,
camps049,Newspaper: The Daily Sentinel on Andover,The Daily Sentinel,1938-05-07,no,,Summer Camps,"Grand Junction, Colorado",39.0720098,-108.5656271,,Newspaper,application/pdf ,eng,,,dailytribune.pdf,dailytribune,,/objects/dailytribune.pdf,/objects/small/dailytribune_sm.jpg,/objects/thumbs/dailytribune_th.jpg,,
camps050,Newspaper: The Tampa Tribune on the creation of camps in Florida,The Tampa Tribune,1938-10-14,no,,Summer Camps,"Tampa, Florida",27.95133386,-82.44536761,,Newspaper,application/pdf ,eng,,,tampa_1938_10_14_10.pdf,tampa_1938_10_14_10,,/objects/tampa_1938_10_14_10.pdf,/objects/small/tampa_1938_10_14_10.pdf,/objects/thumbs/tampa_1938_10_14_10.pdf,,
camps051,Newspaper: The Waterbury Democrat on Southbury,The Waterbury Democrat,1937-12-15,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_15.pdf,wed_1937_12_15,,/objects/wed_1937_12_15.pdf,/objects/small/wed_1937_12_15_sm.jpg,/objects/thumbs/wed_1937_12_15_th.jpg,,
camps052,Newspaper: The Waterbury Democrat on Southbury,The Waterbury Democrat,1937-12-11,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_11.pdf,wed_1937_12_11,,/objects/wed_1937_12_11.pdf,/objects/small/wed_1937_12_11_sm.jpg,/objects/thumbs/wed_1937_12_11_th.jpg,,
camps053,Newspaper: The Waterbury Democrat on Southbury,The Waterbury Democrat,1937-11-16,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_11_16.pdf,wed_1937_11_16,,/objects/wed_1937_11_16.pdf,/objects/small/wed_1937_11_16_sm.jpg,/objects/thumbs/wed_1937_11_16_th.jpg,,
camps054,Newspaper: The Waterbury Democrat on Southbury,The Waterbury Democrat,1937-12-6,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_6.pdf,wed_1937_12_6,,/objects/wed_1937_12_6.pdf,/objects/small/wed_1937_12_6_sm.jpg,/objects/thumbs/wed_1937_12_6_th.jpg,,
camps055,Newspaper: The Waterbury Democrat on Southbury Overview I,The Waterbury Democrat,1937-11-24,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wedI_1937_11_24.pdf,wedI_1937_11_24,,/objects/wedI_1937_11_24.pdf,/objects/small/wedI_1937_11_24_sm.jpg,/objects/thumbs/wedI_1937_11_24_th.jpg,,
camps056,Newspaper: The Waterbury Democrat on Southbury Overview II,The Waterbury Democrat,1937-11-24,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wedII_1937_11_24.pdf,wedII_1937_11_24,,/objects/wedII_1937_11_24.pdf,/objects/small/wedII_1937_11_24_sm.jpg,/objects/thumbs/wedII_1937_11_24_th.jpg,,
camps057,Newspaper: The Waterbury Democrat on Southbury,The Waterbury Democrat,1937-12-28,no,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,Waterbury Democrat,Newspaper,application/pdf ,eng,,,wed_1937_12_28.pdf,wed_1937_12_28,,/objects/wed_1937_12_28.pdf,/objects/small/wed_1937_12_28_sm.jpg,/objects/thumbs/wed_1937_12_28_th.jpg,,
camps058,"Note from a ""Minority Citizen""",,,,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,,,,,,,minoritycitizen.jpg,minoritycitizen,,/objects/minoritycitizen.jpg,/objects/small/minoritycitizen_sm.jpg,/objects/thumbs/minoritycitizen_th.jpg,,
camps059,Union Council Letter,,,,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,,,,,,,unioncouncilletter.jpg,unioncouncilletter,,/objects/unioncouncilletter.jpg,/objects/small/unioncouncilletter_sm.jpg,/objects/thumbs/unioncouncilletter_th.jpg,,
camps060,Letter to Rev. Lindsay,,,,,Southbury; Summer Camps; Residents,"Southbury, CT",41.47808408,-73.2192448,,,,,,,lettertolindsay.jpg,lettertolindsay,,/objects/lettertolindsay.jpg,/objects/small/lettertolindsay_sm.jpg,/objects/thumbs/lettertolindsay_th.jpg,,
camps061,Newspaper: Princeton Papers on Hugo Hass,,,,,,"Princeton, NJ",40.35159397,-74.65816173,,,,,,,princeton_1934_10.pdf,princeton_1934_10,,/objects/princeton_1934_10.pdf,/objects/small/princeton_1934_10_sm.jpg,/objects/thumbs/princeton_1934_10_th.jpg,,
camps062,Newspaper: Princeton Papers ,,,,,,,,,,,,,,,princeton_1934_8.pdf,princeton_1934_8,,/objects/princeton_1934_8.pdf,/objects/small/princeton_1934_8_sm.jpg,/objects/thumbs/princeton_1934_8_th.jpg,,
